Area_ID,Intersection_ID,Traffic_Volume,Road_Capacity_Utilization_Pct,Estimated_Road_Capacity,Average_Speed,Travel_Time_Index,Congestion_Level,Incident_Level,Capacity_Utilization,Bottleneck_Status,Speed_Condition,Travel_Delay_Condition,Incident_Status,Accident_Flag,Peak_Traffic_Status,Congestion_Score,Calculated_Congestion_Level,Congestion_Reasons,Estimated_Lanes,Saturation_Flow,Number_of_Phases,Phase_1_Flow,Phase_2_Flow,Phase_1_Flow_Ratio,Phase_2_Flow_Ratio,Baseline_Cycle,Lost_Time,Available_Green_Time,Phase_1_Baseline_Green,Phase_2_Baseline_Green,Webster_Y,Webster_Status,Webster_Optimal_Cycle,Webster_Cycle_Capped,Webster_Optimal_Cycle_Practical,Webster_Available_Green,Webster_Phase_1_Green,Webster_Phase_2_Green,Cycle_Change_Seconds,Phase_1_Green_Change,Phase_2_Green_Change,Decision_Priority,Decision_Status
AN006,RIN11,38446,100.0,38446.0,26.14487626,1.5,100.0,3,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,HIGH_INCIDENT,YES,HIGH_TRAFFIC,83.81,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",26,46800,2,21145.3,17300.7,0.4518,0.3697,120,8,112,61.6,50.4,0.8215,VALID,95.24,False,95.24,87.24,47.98,39.26,-24.76,-13.62,-11.14,HIGH,WEBSTER_TIMING_AVAILABLE
AN007,RIN12,15043,76.63531646,19629.331090257496,47.96984673,1.35483457,55.74084425,0,0.7663531646,AT_RISK,HIGH_SPEED,MODERATE_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,55.39,HIGH,NORMAL_TRAFFIC_CONDITION,14,25200,2,8273.65,6769.35,0.3283,0.2686,100,8,92,50.6,41.4,0.5969,VALID,42.17,False,42.17,34.17,18.79,15.38,-57.83,-31.81,-26.02,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN001,RIN01,22050,100.0,22050.0,52.87084604,1.130159879,78.4298281,3,1.0,SEVERE_BOTTLENECK,HIGH_SPEED,LOW_DELAY,HIGH_INCIDENT,YES,NORMAL_TRAFFIC,57.73,HIGH,"HIGH_CAPACITY_UTILIZATION, INCIDENT_PRESENT",15,27000,2,12127.5,9922.5,0.4492,0.3675,100,8,92,50.6,41.4,0.8167,VALID,92.74,False,92.74,84.74,46.61,38.13,-7.26,-3.99,-3.27,HIGH,WEBSTER_TIMING_AVAILABLE
AN001,RIN02,37877,100.0,37877.0,26.42842444,1.5,100.0,1,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,81.6,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",26,46800,2,20832.35,17044.65,0.4451,0.3642,120,8,112,61.6,50.4,0.8093,VALID,89.15,False,89.15,81.15,44.63,36.52,-30.85,-16.97,-13.88,HIGH,WEBSTER_TIMING_AVAILABLE
AN003,RIN05,29106,100.0,29106.0,43.56398794,1.5,90.40985493,3,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,SEVERE_DELAY,HIGH_INCIDENT,YES,NORMAL_TRAFFIC,76.75,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",20,36000,2,16008.3,13097.7,0.4447,0.3638,120,8,112,61.6,50.4,0.8085,VALID,88.77,False,88.77,80.77,44.43,36.34,-31.23,-17.17,-14.06,HIGH,WEBSTER_TIMING_AVAILABLE
AN004,RIN06,53217,100.0,53217.0,37.57207491,1.5,100.0,5,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,HIGH_INCIDENT,YES,PEAK_TRAFFIC,85.8,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT, PEAK_TRAFFIC_VOLUME",36,64800,2,29269.35,23947.65,0.4517,0.3696,120,8,112,61.6,50.4,0.8213,VALID,95.13,False,95.13,87.13,47.92,39.21,-24.87,-13.68,-11.19,HIGH,WEBSTER_TIMING_AVAILABLE
AN004,RN07,37584,100.0,37584.0,45.88950597,1.5,100.0,2,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,NORMAL_TRAFFIC,76.96,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",26,46800,2,20671.2,16912.8,0.4417,0.3614,120,8,112,61.6,50.4,0.8031,VALID,86.34,False,86.34,78.34,43.09,35.25,-33.66,-18.51,-15.15,HIGH,WEBSTER_TIMING_AVAILABLE
AN005,RIN08,16676,78.63350743,21207.24427159131,53.52433335,1.175588568,47.15579429,2,0.7863350742999999,AT_RISK,HIGH_SPEED,LOW_DELAY,MODERATE_INCIDENT,YES,NORMAL_TRAFFIC,49.69,MODERATE,INCIDENT_PRESENT,15,27000,2,9171.8,7504.2,0.3397,0.2779,80,8,72,39.6,32.4,0.6176,VALID,44.46,False,44.46,36.46,20.05,16.41,-35.54,-19.55,-15.99,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN005,RIN09,37509,100.0,37509.0,51.51350986,1.5,100.0,1,1.0,SEVERE_BOTTLENECK,HIGH_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,74.33,HIGH,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",26,46800,2,20629.95,16879.05,0.4408,0.3607,100,8,92,50.6,41.4,0.8015,VALID,85.64,False,85.64,77.64,42.7,34.94,-14.36,-7.9,-6.46,HIGH,WEBSTER_TIMING_AVAILABLE
AN006,RIN10,6758,32.77504734,20619.344740815253,34.75612359,1.069280748,21.20369965,1,0.3277504734,NORMAL,LOW_SPEED,LOW_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,31.57,MODERATE,"LOW_SPEED, INCIDENT_PRESENT",14,25200,2,3716.9,3041.1,0.1475,0.1207,80,8,72,39.6,32.4,0.2682,VALID,23.23,False,23.23,15.23,8.38,6.85,-56.77,-31.22,-25.55,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN006,RIN11,30209,100.0,30209.0,31.14686403,1.5,100.0,2,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,NORMAL_TRAFFIC,79.55,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",21,37800,2,16614.95,13594.05,0.4395,0.3596,120,8,112,61.6,50.4,0.7991,VALID,84.62,False,84.62,76.62,42.14,34.48,-35.38,-19.46,-15.92,HIGH,WEBSTER_TIMING_AVAILABLE
AN007,RIN12,20375,100.0,20375.0,40.06999065,1.337950124,58.38210538,0,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,MODERATE_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,66.34,HIGH,HIGH_CAPACITY_UTILIZATION,14,25200,2,11206.25,9168.75,0.4447,0.3638,100,8,92,50.6,41.4,0.8085,VALID,88.77,False,88.77,80.77,44.43,36.34,-11.23,-6.17,-5.06,HIGH,WEBSTER_TIMING_AVAILABLE
AN007,RIN13,15636,82.48757326,18955.58249812428,32.79429896,1.310565184,48.93607081,1,0.8248757326,AT_RISK,LOW_SPEED,MODERATE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,61.15,HIGH,"LOW_SPEED, INCIDENT_PRESENT",13,23400,2,8599.8,7036.2,0.3675,0.3007,100,8,92,50.6,41.4,0.6682,VALID,51.24,False,51.24,43.24,23.78,19.46,-48.76,-26.82,-21.94,HIGH,WEBSTER_TIMING_AVAILABLE
AN001,RIN01,23457,100.0,23457.0,38.86905317,1.380024787,87.20214294,2,1.0,SEVERE_BOTTLENECK,LOW_SPEED,MODERATE_DELAY,MODERATE_INCIDENT,YES,NORMAL_TRAFFIC,71.05,HIGH,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, INCIDENT_PRESENT",16,28800,2,12901.35,10555.65,0.448,0.3665,100,8,92,50.6,41.4,0.8145,VALID,91.64,False,91.64,83.64,46.0,37.64,-8.36,-4.6,-3.76,HIGH,WEBSTER_TIMING_AVAILABLE
AN001,RIN02,38925,100.0,38925.0,33.52942618,1.5,100.0,1,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,HIGH_TRAFFIC,79.8,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",26,46800,2,21408.75,17516.25,0.4575,0.3743,120,8,112,61.6,50.4,0.8318,VALID,101.07,False,101.07,93.07,51.19,41.88,-18.93,-10.41,-8.52,HIGH,WEBSTER_TIMING_AVAILABLE
AN002,RIN03,9154,48.30378185,18950.897112831342,40.22618269,1.378899431,40.23335461,0,0.4830378185,NORMAL,NORMAL_SPEED,MODERATE_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,47.35,MODERATE,NORMAL_TRAFFIC_CONDITION,13,23400,2,5034.7,4119.3,0.2152,0.176,80,8,72,39.6,32.4,0.3912,VALID,27.92,False,27.92,19.92,10.96,8.96,-52.08,-28.64,-23.44,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN002,RIN14,24968,100.0,24968.0,36.72769056,1.298417952,84.89404197,1,1.0,SEVERE_BOTTLENECK,LOW_SPEED,MODERATE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,67.73,HIGH,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, INCIDENT_PRESENT",17,30600,2,13732.4,11235.6,0.4488,0.3672,100,8,92,50.6,41.4,0.816,VALID,92.39,False,92.39,84.39,46.41,37.98,-7.61,-4.19,-3.42,HIGH,WEBSTER_TIMING_AVAILABLE
AN003,RIN04,51459,100.0,51459.0,27.32652437,1.5,100.0,0,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,NO_INCIDENT,NO,PEAK_TRAFFIC,83.35,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, PEAK_TRAFFIC_VOLUME",35,63000,2,28302.45,23156.55,0.4492,0.3676,120,8,112,61.6,50.4,0.8168,VALID,92.79,False,92.79,84.79,46.63,38.16,-27.21,-14.97,-12.24,HIGH,WEBSTER_TIMING_AVAILABLE
AN003,RIN05,28481,100.0,28481.0,36.50393786,1.5,100.0,2,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,NORMAL_TRAFFIC,77.63,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",19,34200,2,15664.55,12816.45,0.458,0.3748,120,8,112,61.6,50.4,0.8328,VALID,101.67,False,101.67,93.67,51.51,42.16,-18.33,-10.09,-8.24,HIGH,WEBSTER_TIMING_AVAILABLE
AN005,RIN08,10179,51.83630715,19636.815505674,40.30824348,1.394910452,26.93833782,0,0.5183630715,NORMAL,NORMAL_SPEED,MODERATE_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,49.43,MODERATE,NORMAL_TRAFFIC_CONDITION,14,25200,2,5598.45,4580.55,0.2222,0.1818,80,8,72,39.6,32.4,0.404,VALID,28.52,False,28.52,20.52,11.29,9.23,-51.48,-28.31,-23.17,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN001,RIN01,46199,100.0,46199.0,41.22849932,1.5,100.0,2,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,HIGH_TRAFFIC,80.2,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",31,55800,2,25409.45,20789.55,0.4554,0.3726,120,8,112,61.6,50.4,0.828,VALID,98.84,False,98.84,90.84,49.96,40.88,-21.16,-11.64,-9.52,HIGH,WEBSTER_TIMING_AVAILABLE
AN001,RIN02,56242,100.0,56242.0,52.55340842,1.5,100.0,0,1.0,SEVERE_BOTTLENECK,HIGH_SPEED,SEVERE_DELAY,NO_INCIDENT,NO,PEAK_TRAFFIC,77.18,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, PEAK_TRAFFIC_VOLUME",38,68400,2,30933.1,25308.9,0.4522,0.37,120,8,112,61.6,50.4,0.8222,VALID,95.61,False,95.61,87.61,48.18,39.43,-24.39,-13.42,-10.97,HIGH,WEBSTER_TIMING_AVAILABLE
AN002,RIN03,20450,100.0,20450.0,24.60767822,1.361663478,65.13177601,1,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,MODERATE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,72.73,HIGH,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, INCIDENT_PRESENT",14,25200,2,11247.5,9202.5,0.4463,0.3652,100,8,92,50.6,41.4,0.8115,VALID,90.19,False,90.19,82.19,45.2,36.99,-9.81,-5.4,-4.41,HIGH,WEBSTER_TIMING_AVAILABLE
AN002,RIN14,13391,63.23545839,21176.4101042994,51.69672549,1.030345331,37.2142611,0,0.6323545839,NORMAL,HIGH_SPEED,LOW_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,36.29,MODERATE,NORMAL_TRAFFIC_CONDITION,15,27000,2,7365.05,6025.95,0.2728,0.2232,80,8,72,39.6,32.4,0.496,VALID,33.73,False,33.73,25.73,14.15,11.58,-46.27,-25.45,-20.82,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN003,RIN04,28369,100.0,28369.0,29.40974507,1.5,86.33738401,1,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,78.64,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",19,34200,2,15602.95,12766.05,0.4562,0.3733,120,8,112,61.6,50.4,0.8295,VALID,99.71,False,99.71,91.71,50.44,41.27,-20.29,-11.16,-9.13,HIGH,WEBSTER_TIMING_AVAILABLE
AN003,RIN05,31228,100.0,31228.0,42.5750771,1.5,97.78375372,2,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,NORMAL_TRAFFIC,76.5,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",21,37800,2,17175.4,14052.6,0.4544,0.3718,120,8,112,61.6,50.4,0.8262,VALID,97.81,False,97.81,89.81,49.39,40.42,-22.19,-12.21,-9.98,HIGH,WEBSTER_TIMING_AVAILABLE
AN004,RIN06,34180,100.0,34180.0,37.03463636,1.5,100.0,0,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,76.74,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY",23,41400,2,18799.0,15381.0,0.4541,0.3715,120,8,112,61.6,50.4,0.8256,VALID,97.48,False,97.48,89.48,49.22,40.26,-22.52,-12.38,-10.14,HIGH,WEBSTER_TIMING_AVAILABLE
AN004,RN07,43569,100.0,43569.0,40.38910044,1.5,100.0,1,1.0,SEVERE_BOTTLENECK,NORMAL_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,HIGH_TRAFFIC,78.86,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",30,54000,2,23962.95,19606.05,0.4438,0.3631,120,8,112,61.6,50.4,0.8069,VALID,88.04,False,88.04,80.04,44.02,36.02,-31.96,-17.58,-14.38,HIGH,WEBSTER_TIMING_AVAILABLE
AN005,RIN08,16342,81.9551139,19940.183378843427,39.54830801,1.35870617,46.07800825,0,0.819551139,AT_RISK,NORMAL_SPEED,MODERATE_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,60.11,HIGH,NORMAL_TRAFFIC_CONDITION,14,25200,2,8988.1,7353.9,0.3567,0.2918,100,8,92,50.6,41.4,0.6485,VALID,48.36,False,48.36,40.36,22.2,18.16,-51.64,-28.4,-23.24,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN007,RIN12,19306,93.95409732,20548.332165062835,34.97953276,1.170174575,64.50554091,0,0.9395409732,BOTTLENECK,LOW_SPEED,LOW_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,58.73,HIGH,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED",14,25200,2,10618.3,8687.7,0.4214,0.3448,100,8,92,50.6,41.4,0.7662,VALID,72.71,False,72.71,64.71,35.59,29.12,-27.29,-15.01,-12.28,HIGH,WEBSTER_TIMING_AVAILABLE
AN007,RIN13,16012,82.6622786,19370.3830467601,39.2310813,1.101856262,57.00338778,0,0.8266227859999999,AT_RISK,NORMAL_SPEED,LOW_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,50.1,HIGH,NORMAL_TRAFFIC_CONDITION,13,23400,2,8806.6,7205.4,0.3764,0.3079,100,8,92,50.6,41.4,0.6843,VALID,53.85,False,53.85,45.85,25.22,20.63,-46.15,-25.38,-20.77,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN001,RIN01,49952,100.0,49952.0,50.80134095,1.5,100.0,2,1.0,SEVERE_BOTTLENECK,HIGH_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,PEAK_TRAFFIC,78.29,SEVERE,"HIGH_CAPACITY_UTILIZATION, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT, PEAK_TRAFFIC_VOLUME",34,61200,2,27473.6,22478.4,0.4489,0.3673,120,8,112,61.6,50.4,0.8162,VALID,92.49,False,92.49,84.49,46.47,38.02,-27.51,-15.13,-12.38,HIGH,WEBSTER_TIMING_AVAILABLE
AN001,RIN02,33970,100.0,33970.0,20.0,1.5,100.0,1,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,LOW_INCIDENT,YES,NORMAL_TRAFFIC,82.58,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",23,41400,2,18683.5,15286.5,0.4513,0.3692,120,8,112,61.6,50.4,0.8205,VALID,94.71,False,94.71,86.71,47.69,39.02,-25.29,-13.91,-11.38,HIGH,WEBSTER_TIMING_AVAILABLE
AN002,RIN14,17018,87.97597211,19343.918108369056,57.47327055,1.213384437,64.60451833,0,0.8797597211,AT_RISK,HIGH_SPEED,LOW_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,51.42,HIGH,NORMAL_TRAFFIC_CONDITION,13,23400,2,9359.9,7658.1,0.4,0.3273,100,8,92,50.6,41.4,0.7273,VALID,62.34,False,62.34,54.34,29.89,24.45,-37.66,-20.71,-16.95,MEDIUM,WEBSTER_TIMING_AVAILABLE
AN003,RIN04,58920,100.0,58920.0,25.21236284,1.5,100.0,2,1.0,SEVERE_BOTTLENECK,VERY_LOW_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,PEAK_TRAFFIC,87.6,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT, PEAK_TRAFFIC_VOLUME",40,72000,2,32406.0,26514.0,0.4501,0.3682,120,8,112,61.6,50.4,0.8183,VALID,93.56,False,93.56,85.56,47.06,38.5,-26.44,-14.54,-11.9,HIGH,WEBSTER_TIMING_AVAILABLE
AN003,RIN05,46963,100.0,46963.0,34.44415329,1.5,100.0,2,1.0,SEVERE_BOTTLENECK,LOW_SPEED,SEVERE_DELAY,MODERATE_INCIDENT,YES,HIGH_TRAFFIC,82.31,SEVERE,"HIGH_CAPACITY_UTILIZATION, LOW_SPEED, HIGH_TRAVEL_DELAY, INCIDENT_PRESENT",32,57600,2,25829.65,21133.35,0.4484,0.3669,120,8,112,61.6,50.4,0.8153,VALID,92.04,False,92.04,84.04,46.22,37.82,-27.96,-15.38,-12.58,HIGH,WEBSTER_TIMING_AVAILABLE
AN005,RIN08,18111,86.10261639,21034.20402228732,55.94191518,1.236510174,58.35005408,0,0.8610261639,AT_RISK,HIGH_SPEED,LOW_DELAY,NO_INCIDENT,NO,NORMAL_TRAFFIC,52.37,HIGH,NORMAL_TRAFFIC_CONDITION,15,27000,2,9961.05,8149.95,0.3689,0.3018,100,8,92,50.6,41.4,0.6707,VALID,51.62,False,51.62,43.62,23.99,19.63,-48.38,-26.61,-21.77,MEDIUM,WEBSTER_TIMING_AVAILABLE
